series_id,home_team,away_team,home_points,away_points,round,game,score_home,score_away
1,PHI,BKN,121,101,1,1,0,0
1,PHI,BKN,96,84,1,2,1,0
1,BKN,PHI,97,102,1,3,0,2
1,BKN,PHI,88,96,1,4,0,3
2,BOS,ATL,112,99,1,1,0,0
2,BOS,ATL,119,106,1,2,1,0
2,ATL,BOS,130,122,1,3,0,2
2,ATL,BOS,121,129,1,4,1,2
2,BOS,ATL,117,119,1,5,1,3
2,ATL,BOS,120,128,1,6,2,3
3,CAV,NYK,97,101,1,1,0,0
3,CAV,NYK,107,90,1,2,1,0
3,NYK,CAV,99,79,1,3,1,1
3,NYK,CAV,102,93,1,4,2,1
3,CAV,NYK,95,106,1,5,1,3
4,SAC,GSW,126,123,1,1,0,0
4,SAC,GSW,114,106,1,2,1,0
4,GSW,SAC,114,97,1,3,0,2
4,GSW,SAC,126,125,1,4,1,2
4,SAC,GSW,116,123,1,5,2,2
4,GSW,SAC,99,118,1,6,3,2
4,SAC,GSW,100,120,1,7,3,3
5,MEM,LAL,112,128,1,1,0,0
5,MEM,LAL,103,93,1,2,0,1
5,LAL,MEM,111,101,1,3,1,1
5,LAL,MEM,117,111,1,4,2,1
5,MEM,LAL,116,99,1,5,1,3
5,LAL,MEM,125,85,1,6,3,2
6,MIL,MIA,117,130,1,1,0,0
6,MIL,MIA,138,122,1,2,0,1
6,MIA,MIL,121,99,1,3,1,1
6,MIA,MIL,119,114,1,4,2,1
6,MIL,MIA,126,128,1,5,1,3
7,PHX,LAC,110,115,1,1,0,0
7,PHX,LAC,123,109,1,2,0,1
7,LAC,PHX,124,129,1,3,1,1
7,LAC,PHX,100,112,1,4,1,2
7,PHX,LAC,136,130,1,5,3,1
8,DEN,MIN,109,80,1,1,0,0
8,DEN,MIN,122,113,1,2,1,0
8,MIN,DEN,111,120,1,3,0,2
8,MIN,DEN,114,108,1,4,0,3
8,DEN,MIN,112,109,1,5,3,1
