team,team_short,conference,game_won,game_lose,conference_position,game_played,points_scored,points_missed,game_won_home,game_lose_home,game_won_away,game_lose_away
Philadelphia 76ers,PHI,EAST,54,28,3,82,9446,9094,29,12,25,16
Brooklyn Nets,BKN,EAST,45,37,6,82,9299,9225,23,18,22,19
Denver Nuggets,DEN,WEST,53,29,1,82,9479,9225,34,7,19,22
Boston Celtics,BOS,EAST,57,25,2,82,9668,9135,32,9,25,16
Milwaukee Bucks,MIL,EAST,58,24,1,82,9586,9291,32,9,26,15
Atlanta Hawks,ATL,EAST,41,41,7,82,9709,9684,24,17,17,24
Golden State Warriors,GSW,WEST,44,38,6,82,9750,9602,33,8,11,30
LA Lakers,LAL,WEST,43,39,7,82,9610,9561,23,18,20,21
LA Clippers,LAC,WEST,44,38,5,82,9315,9274,23,18,21,20
Minnesota Timberwolves,MIN,WEST,42,40,8,82,9471,9471,22,19,20,21
Miami Heat,MIA,EAST,44,38,8,82,8979,9003,27,14,17,24
Sacramento Kings,SAC,WEST,48,34,3,82,9897,9684,23,18,25,16
Memphis Grizzlies,MEM,WEST,51,31,2,82,9586,9266,35,6,16,25
Phoenix Suns,PHX,WEST,45,37,4,82,9315,9151,28,13,17,24
New York Knicks,NYK,EAST,47,35,5,82,9512,9274,23,18,24,17
Cleveland Cavaliers,CAV,EAST,51,31,4,82,9209,8766,31,10,20,21
